protein,casein,scc,conc_fed
4.67,3.58,147,1.5
4.26,3.26,321,1.5
5.8,4.67,21,1.5
4.89,3.8,117,1.5
4.84,3.68,443,1.5
4.98,3.84,36,1.5
4.48,3.49,75,1.5
4.71,3.66,42,1.5
3.91,2.91,120,1.5
4.79,3.69,84,1.5
4.42,3.38,95,1.5
3.6,2.71,227,1.5
4.26,3.33,106,1.5
4.61,3.6,168,1.5
4.49,3.41,561,1.5
4.52,3.53,107,1.5
4.47,3.32,255,1.5
5.53,4.38,100,1.5
3.73,2.89,198,1.5
4.7,3.72,55,1.5
4.66,3.72,33,1.5
4.26,3.34,32,1.5
4.28,3.37,30,1.5
4.94,3.88,17,1.5
4.6,3.65,52,1.5
4.68,3.51,344,1.5
4.33,3.37,40,1.5
4.13,3.26,58,1.5
4.92,3.82,326,1.5
5.2,4.01,183,1.5
5.65,4.37,307,1.5
4.2,3.32,21,1.5
4.8,3.8,48,1.5
4.22,3.29,52,1.5
4.4,3.27,27,1.5
4.14,3.22,16,1.5
4.45,3.5,29,1.5
4.58,3.53,33,1.5
4.3,3.36,21,1.5
4.97,3.88,67,1.5
4.39,3.38,185,1.5
4.14,3.21,50,1.5
5.08,3.96,123,1.5
4.15,3.18,95,1.5
4.23,3.3,221,1.5
4.99,3.89,146,1.5
4.88,3.7,144,1.5
4.67,3.65,20,1.5
4.47,3.46,50,1.5
5.01,3.95,129,1.5
4.5,3.53,19,1.5
5.36,4.2,32,1.5
4.21,3.29,117,1.5
3.99,3.08,72,1.5
4.27,3.24,94,1.5
3.61,2.68,58,1.5
4.55,3.52,125,1.5
4.74,3.59,83,1.5
5.4,4.14,170,1.5
4.72,3.66,96,1.5
4.98,3.99,34,1.5
4.86,3.77,110,1.5
4.33,3.25,67,1.5
4.8,3.75,84,1.5
4.19,3.31,71,1.5
4.59,3.54,32,1.5
4.36,3.37,41,1.5
4.52,3.5,217,1.5
5.02,3.8,453,1.5
5.41,4.25,74,1.5
4.69,3.63,409,1.5
4.63,3.61,509,1.5
4.1,3.11,73,1.5
4.33,3.37,30,1.5
5.14,4.1,19,1.5
4.2,3.25,184,1.5
3.72,2.8,31,1.5
4.35,3.34,82,1.5
4.25,3.23,36,1.5
4.36,3.33,65,1.5
3.79,2.96,40,1.5
4.79,3.65,613,1.5
4.64,3.72,33,1.5
4.65,3.58,36,1.5
4.86,3.72,316,1.5
4.4,3.42,122,1.5
4.61,3.49,282,1.5
5.3,4.21,29,1.5
5.24,4.11,140,1.5
4.94,3.83,136,1.5
4.22,3.3,100,1.5
4.15,3.13,63,1.5
3.92,3.02,17,1.5
4.83,3.82,59,1.5
4.42,3.4,68,1.5
4.84,3.73,34,1.5
4.74,3.67,37,1.5
4.43,3.47,16,1.5
4.12,3.25,37,1.5
4.22,3.24,143,1.5
3.88,2.97,153,1.5
4.01,3.09,159,1.5
4.73,3.66,63,1.5
4.84,3.84,36,1.5
4.55,3.49,253,1.5
4.37,3.27,81,1.5
4.65,3.53,37,1.5
5.12,3.99,86,1.5
4.43,3.44,94,1.5
4.54,3.58,29,1.5
4.08,3.15,34,1.5
4.75,3.67,116,1.5
3.8,2.87,26,1.5
4.19,3.2,60,1.5
4.51,3.44,49,1.5
3.69,2.81,27,1.5
4.2,3.17,22,1.5
4.24,3.26,26,1.5
4.82,3.75,126,1.5
4.45,3.4,452,1.5
4.83,3.73,50,1.5
5,3.87,208,1.5
4.58,3.51,93,1.5
4.73,3.55,42,1.5
5.13,4,22,1.5
4.32,3.33,52,1.5
4.48,3.49,74,1.5
4.35,3.31,40,1.5
4.94,3.86,46,1.5
4.75,3.69,180,1.5
5.11,3.92,408,1.5
4,3.09,114,1.5
3.85,2.97,161,3.5
4.57,3.58,34,1.5
3.99,3.04,75,0
4.11,3.14,96,0
4.24,3.15,144,1.5
4.19,3.3,25,0
4.79,3.67,413,0
4.2,3.2,13,0
4.81,3.67,193,0
4.22,3.22,46,0
4.44,3.44,142,3.5
4.44,3.36,62,2.5
3.16,2.16,32,0
3.81,2.85,901,0
3.36,2.51,36,0
4.66,3.58,570,0
4.5,3.48,35,0
4.66,3.52,486,0
4.53,3.49,24,0
4.32,3.32,47,3.5
4.84,3.72,23,3.5
4.47,3.43,131,3.5
4.44,3.46,63,3.5
4.38,3.33,16,3.5
4.76,3.7,24,2.5
4.02,3.09,23,0
4.5,3.46,66,3.5
4.23,3.28,11,0
4.3,3.34,101,0
4.86,3.87,62,0
3.41,2.49,23,0
4.98,3.86,22,0
4.33,3.39,237,0
4.22,3.27,18,0
4.51,3.47,134,0
4.45,3.44,209,0
4.2,3.28,119,0
4.2,3.23,12,0
4.54,3.56,110,0
3.86,2.91,439,2.5
4.3,3.21,349,3.5
5.05,3.9,2503,0
4.19,3.22,59,1.5
3.89,2.97,245,0
3.81,2.95,101,0
5.19,4.08,168,0
4.69,3.56,61,3.5
4.35,3.32,33,2.5
4.33,3.36,150,2.5
4.36,3.33,81,0
4,2.99,39,0
4.34,3.36,270,3.5
5.03,3.81,356,0
3.54,2.62,108,0
4.2,3.27,127,2.5
4.22,3.21,125,0
4.67,3.6,1077,0
4.19,3.2,91,3.5
3.86,2.96,31,3.5
4.71,3.56,150,3.5
4.18,3.17,66,3.5
4.71,3.66,78,2.5
5.45,4.27,85,3.5
3.96,3.07,53,0
4.59,3.6,101,0
4.45,3.46,19,0
4.37,3.39,43,0
4.96,3.83,188,0
3.86,2.9,73,0
3.65,2.73,13,0
4.51,3.45,148,0
4.7,3.69,64,0
3.73,2.7,76,0
4.11,3.09,35,0
4.54,3.56,92,0
4.48,3.46,55,0
4.49,3.52,170,0
4.17,3.24,19,0
4.26,3.27,53,0
3.7,2.81,28,3.5
2.71,1.72,74,0
4.69,3.66,25,2.5
3.3,2.29,27,0
4.26,3.36,68,3.5
4.54,3.5,147,0
4.09,3.19,9,0
4.33,3.36,16,0
4.27,3.27,77,3.5
3.87,2.93,61,3.5
3.96,2.98,353,0
4.33,3.34,119,0
4.1,3.13,353,3.5
4.86,3.78,62,0
3.67,2.7,124,0
4.12,3.17,36,0
4.77,3.73,46,2.5
4.83,3.71,72,3.5
4.58,3.53,47,2.5
4.84,3.69,301,2.5
4.23,3.29,16,0
4.03,3.08,94,2.5
5.19,4.12,91,2.5
4.39,3.45,21,0
3.44,2.61,96,0
4.02,3.09,23,0
4.92,3.83,120,0
4.3,3.32,98,0
4.46,3.53,158,0
4.07,3.13,73,0
3.67,2.66,16,0
4.99,3.84,47,0
3.09,2.11,105,0
4.18,3.19,50,0
5.07,4,233,0
4.61,3.57,20,2.5
4.47,3.38,82,0
4.43,3.41,202,0
3.94,2.96,19,3.5
3.72,2.8,21,0
4.42,3.35,239,0
4.12,3.16,58,3.5
4.26,3.35,422,2.5
4.81,3.73,31,0
4.68,3.66,33,2.5
4.46,3.45,57,0
3.75,2.86,1725,0
4.6,3.58,59,0
4.47,3.4,243,0
4.21,3.25,68,0
4.52,3.49,137,0
4.65,3.51,141,0
3.78,2.7,126,0
4.19,3.24,71,0
5.22,4.02,56,2.5
4.18,3.27,21,3.5
4.61,3.57,68,0
4.78,3.74,95,0
4.64,3.57,199,0
4.81,3.66,68,0
3.91,3.05,34,0
4.08,3.19,91,0
4.04,3.11,205,0
4.28,3.27,136,0
4.29,3.31,18,0
4.4,3.36,141,0
4.71,3.68,141,0
4.22,3.32,61,0
4.69,3.65,407,0
3.79,2.95,81,0
5.05,3.93,137,1.5
4.66,3.57,39,2.5
4.78,3.68,47,3.5
4.53,3.55,274,0
3.7,2.81,244,0
4.66,3.64,231,0
3.95,3,153,3.5
4.34,3.33,507,0
4.67,3.6,113,3.5
3.97,3,92,0
4.41,3.41,173,3.5
4.46,3.45,83,0
4.78,3.69,82,3.5
3.54,2.47,789,0
4.2,3.2,425,0
3.85,2.97,38,3.5
4.99,3.84,282,0
5.12,3.98,62,0
4.26,3.29,44,0
4.02,2.98,60,0
4.45,3.47,15,0
5.19,3.98,302,0
4.55,3.53,74,3.5
4.39,3.37,22,3.5
4.01,3.04,297,2.5
4,3.1,67,2.5
4.41,3.33,152,2.5
4.89,3.84,15,2.5
4.61,3.64,31,3.5
4.16,3.14,33,2.5
4.84,3.73,138,0
4.47,3.45,45,0
4.3,3.29,45,0
4.35,3.33,126,0
3.65,2.71,30,0
3.32,2.32,90,0
4.28,3.3,14,0
4.29,3.34,31,0
4.93,3.75,73,3.5
4.35,3.36,106,0
4.04,3.16,33,0
3.93,3,26,0
4.11,3.14,11,0
4.03,3.14,53,0
4.57,3.52,21,0
3.96,3.05,299,0
4.37,3.36,354,0
4.17,3.2,714,0
3.72,2.67,181,0
4.45,3.46,19,0
4.49,3.48,357,2.5
4.99,3.95,243,0
4.75,3.66,144,1.5
4.35,3.35,39,2.5
4.3,3.36,41,0
3.93,2.99,1814,0
4.02,3.05,90,2.5
4.33,3.39,83,1.5
4.5,3.51,121,3.5
3.84,2.85,30,0
4.61,3.52,149,3.5
4.36,3.32,1427,2.5
3.56,2.58,59,0
4.14,3.08,131,0
4.59,3.54,58,0
4.46,3.45,85,0
4.69,3.63,924,0
4.72,3.54,237,0
4.25,3.29,53,2.5
4.56,3.54,45,2.5
4.69,3.55,82,3.5
4.54,3.48,121,3.5
5.08,3.89,81,3.5
4.3,3.33,23,3.5
3.91,3.05,47,0
4.03,3.16,27,0
